2015-09-30 22:56:15,135 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: cgg.unibe.ch:jrtr:0.0.1-SNAPSHOT @ E:\Users\Tanja\Computergraphik\Computergrafik\jrtr\pom.xml.
2015-09-30 22:56:15,279 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: cgg.unibe.ch:simple:0.0.1-SNAPSHOT @ E:\Users\Tanja\Computergraphik\Computergrafik\simple\pom.xml.
2015-09-30 22:56:15,668 [Worker-4] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /jrtr/src/main/java
2015-09-30 22:56:15,668 [Worker-4] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /jrtr/src/main/resources
2015-09-30 22:56:15,669 [Worker-4] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /jrtr/src/test/java
2015-09-30 22:56:15,669 [Worker-4] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /jrtr/src/test/resources
2015-09-30 22:56:15,758 [Worker-4] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /simple/src/main/java
2015-09-30 22:56:15,758 [Worker-4] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /simple/src/main/resources
2015-09-30 22:56:15,758 [Worker-4] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /simple/src/test/java
2015-09-30 22:56:15,759 [Worker-4] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /simple/src/test/resources
2015-09-30 22:56:15,807 [Worker-4] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 2 project(s) in 1 sec
2015-09-30 22:56:16,893 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-09-30 22:56:16,901 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-09-30 22:56:16,909 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-09-30 22:56:16,913 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-09-30 22:56:17,093 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-09-30 22:56:17,097 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-09-30 22:56:17,100 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-09-30 22:56:17,104 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-09-30 23:08:36,033 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-09-30 23:08:36,042 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-09-30 23:08:36,043 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-09-30 23:08:36,046 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-09-30 23:08:50,124 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-09-30 23:08:50,127 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-09-30 23:08:50,128 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-09-30 23:08:50,130 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-09-30 23:10:13,847 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-09-30 23:10:13,851 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-09-30 23:10:13,852 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-09-30 23:10:13,856 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-09-30 23:10:45,741 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-09-30 23:10:45,744 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-09-30 23:10:45,745 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-09-30 23:10:45,747 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-09-30 23:11:56,891 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-09-30 23:11:56,894 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-09-30 23:11:56,894 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-09-30 23:11:56,898 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-09-30 23:12:15,134 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-09-30 23:12:15,137 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-09-30 23:12:15,138 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-09-30 23:12:15,141 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-09-30 23:12:35,646 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-09-30 23:12:35,649 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-09-30 23:12:35,650 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-09-30 23:12:35,653 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-09-30 23:13:07,618 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-09-30 23:13:07,621 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-09-30 23:13:07,622 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-09-30 23:13:07,624 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-09-30 23:13:17,597 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-09-30 23:13:17,600 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-09-30 23:13:17,601 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
